site.num,subrep,collect.year,run.year,id,round,dose,nResist,nInt,nSens,nTot,pRes
72,a,2010,2010,72a,2010_10,1.5x,8,5,1,14,0.571428571
74,a,2010,2010,74a,2010_4,1.5x,1,4,16,21,0.047619048
74,a,2010,2010,74a,2010_7,1.5x,0,1,20,21,0
75,a,2010,2010,75a,2010_8,1.5x,0,4,17,21,0
76,a,2010,2010,76a,2010_8,1.5x,1,9,11,21,0.047619048
77,a,2010,2010,77a,2010_4,1.5x,1,6,14,21,0.047619048
78,a,2010,2010,78a,2010_4,1.5x,1,1,19,21,0.047619048
79,a,2010,2010,79a,2010_8,1.5x,7,9,5,21,0.333333333
80,a,2010,2010,80a,2010_4,1.5x,0,2,19,21,0
81,a,2010,2010,81a,2010_4,1.5x,0,0,21,21,0
82,a,2010,2010,82a,2010_4,1.5x,0,3,18,21,0
83,a,2010,2010,83a,2010_6,1.5x,0,0,21,21,0
84,a,2010,2010,84a,2010_4,1.5x,0,1,20,21,0
85,a,2010,2010,85a,2010_4,1.5x,1,0,20,21,0.047619048
86,a,2010,2010,86a,2010_8,1.5x,4,15,2,21,0.19047619
87,a,2010,2010,87a,2010_8,1.5x,0,5,16,21,0
88,a,2010,2010,88a,2010_4,1.5x,0,0,21,21,0
88,a,2010,2010,88a,2010_7,1.5x,0,2,20,22,0
88,a,2010,2010,88a,2010_10,1.5x,2,7,12,21,0.095238095
89,a,2010,2010,89a,2010_7,1.5x,1,5,15,21,0.047619048
89,a,2010,2010,89a,2010_10,1.5x,8,12,8,28,0.285714286
90,a,2010,2010,90a,2010_8,1.5x,0,0,21,21,0
90,a,2010,2010,90a,2010_10,1.5x,0,9,12,21,0
92,a,2010,2010,92a,2010_10,1.5x,6,15,7,28,0.214285714
92,b,2010,2010,92b,2010_10,1.5x,3,16,9,28,0.107142857
93,a,2010,2010,93a,2010_10,1.5x,0,12,9,21,0
94,a,2010,2010,94a,2010_10,1.5x,0,11,17,28,0
95,a,2010,2010,95a,2010_10,1.5x,4,15,2,21,0.19047619
96,a,2010,2010,96a,2010_6,1.5x,2,1,18,21,0.095238095
96,a,2010,2010,96a,2010_10,1.5x,3,10,15,28,0.107142857
97,a,2010,2010,97a,2010_4,1.5x,4,5,12,21,0.19047619
97,a,2010,2010,97a,2010_6,1.5x,3,2,16,21,0.142857143
97,a,2010,2010,97a,2010_10,1.5x,5,7,9,21,0.238095238
98,a,2010,2010,98a,2010_10,1.5x,0,9,12,21,0
100,a,2010,2010,100a,2010_10,1.5x,0,7,14,21,0
101,a,2010,2010,101a,2010_4,1.5x,0,0,21,21,0
101,a,2010,2010,101a,2010_6,1.5x,0,0,21,21,0
101,a,2010,2010,101a,2010_10,1.5x,0,4,17,21,0
102,a,2010,2010,102a,2010_4,1.5x,0,3,17,20,0
102,a,2010,2010,102a,2010_10,1.5x,1,13,14,28,0.035714286
103,a,2010,2010,103a,2010_4,1.5x,0,8,13,21,0
104,a,2010,2010,104a,2010_6,1.5x,0,4,17,21,0
105,a,2010,2010,105a,2010_10,1.5x,10,8,3,21,0.476190476
106,a,2010,2010,106a,2010_4,1.5x,1,0,15,16,0.0625
106,a,2010,2010,106a,2010_10,1.5x,1,7,13,21,0.047619048
108,a,2010,2010,108a,2010_4,1.5x,0,1,20,21,0
110,a,2010,2010,110a,2010_10,1.5x,0,6,15,21,0
114,a,2010,2010,114a,2010_4,1.5x,0,0,15,15,0
115,a,2010,2010,115a,2010_4,1.5x,1,1,6,8,0.125
117,a,2010,2010,117a,2010_4,1.5x,0,3,10,13,0
118,a,2010,2010,118a,2010_5,1.5x,1,5,15,21,0.047619048
119,a,2010,2010,119a,2010_5,1.5x,0,1,20,21,0
120,a,2010,2010,120a,2010_5,1.5x,0,5,16,21,0
120,a,2010,2010,120a,2010_10,1.5x,0,4,17,21,0
121,a,2010,2010,121a,2010_5,1.5x,4,7,10,21,0.19047619
121,a,2010,2010,121a,2010_7,1.5x,3,9,9,21,0.142857143
121,a,2010,2010,121a,2010_10,1.5x,4,11,6,21,0.19047619
122,a,2010,2010,122a,2010_5,1.5x,3,9,9,21,0.142857143
122,a,2010,2010,122a,2010_7,1.5x,1,8,12,21,0.047619048
122,a,2010,2010,122a,2010_10,1.5x,4,9,8,21,0.19047619
