yr,sp,ev,trt,type,blk,sam,%pred
1,W,4,NT,w,3,3,4
1,W,4,NT,w,4,1,4
1,W,4,NT,w,4,2,10
1,W,4,NT,w,4,3,2
1,W,5,CP,s,1,1,0
1,W,5,CP,s,1,2,2
1,W,5,CP,s,1,3,2
1,W,5,CP,s,2,1,0
1,W,5,CP,s,2,2,0
1,W,5,CP,s,2,3,2
1,W,5,CP,s,3,1,0
1,W,5,CP,s,3,2,2
1,W,5,CP,s,3,3,6
1,W,5,CP,s,4,1,0
1,W,5,CP,s,4,2,0
1,W,5,CP,s,4,3,4
1,W,5,CP,w,1,1,20
1,W,5,CP,w,1,2,4
1,W,5,CP,w,1,3,40
1,W,5,CP,w,2,1,10
1,W,5,CP,w,2,2,28
1,W,5,CP,w,2,3,6
1,W,5,CP,w,3,1,4
1,W,5,CP,w,3,2,4
1,W,5,CP,w,3,3,4
1,W,5,CP,w,4,1,82
1,W,5,CP,w,4,2,2
1,W,5,CP,w,4,3,14
1,W,5,MP,s,1,1,6
1,W,5,MP,s,1,2,12
1,W,5,MP,s,1,3,0
1,W,5,MP,s,2,1,0
1,W,5,MP,s,2,2,6
1,W,5,MP,s,2,3,2
1,W,5,MP,s,3,1,14
1,W,5,MP,s,3,2,0
1,W,5,MP,s,3,3,0
1,W,5,MP,s,4,1,10
1,W,5,MP,s,4,2,2
1,W,5,MP,s,4,3,8
1,W,5,MP,w,1,1,74
1,W,5,MP,w,1,2,10
1,W,5,MP,w,1,3,4
1,W,5,MP,w,2,1,14
1,W,5,MP,w,2,2,66
1,W,5,MP,w,2,3,12
1,W,5,MP,w,3,1,4
1,W,5,MP,w,3,2,8
1,W,5,MP,w,3,3,10
1,W,5,MP,w,4,1,18
1,W,5,MP,w,4,2,6
1,W,5,MP,w,4,3,2
1,W,5,NT,s,1,1,2
1,W,5,NT,s,1,2,8
1,W,5,NT,s,1,3,2
1,W,5,NT,s,2,1,8
1,W,5,NT,s,2,2,0
1,W,5,NT,s,2,3,10
1,W,5,NT,s,3,1,4
1,W,5,NT,s,3,2,8
1,W,5,NT,s,3,3,2
1,W,5,NT,s,4,1,6
1,W,5,NT,s,4,2,10
1,W,5,NT,s,4,3,6
1,W,5,NT,w,1,1,34
1,W,5,NT,w,1,2,0
1,W,5,NT,w,1,3,0
1,W,5,NT,w,2,1,16
